codigo,Razón Social,marca,nombre_region,codigo_region,nombre_comuna,codigo_comuna,direccion,Latitud,Longitud,combustible,Última Actualización,hora_actualizacion,precio,unidad_cobro,ClasificacionGasolina 93 $/L,ClasificacionGasolina 97 $/L,ClasificacionPetróleo Diesel $/L,ClasificacionGasolina 95 $/L,ClasificacionGLP Vehicular $/m3,ClasificacionGNC $/m3,Fecha
ab1010102,SERVICIOS DE TRANSPORTE Y DISTRIBUCION ALVARO RODRIGO SEPULVEDA CZISCHKE E.I.R.L,ABASTIBLE,De los Lagos,10,Puerto Montt,10101,MAXIMILIANO URIBE 2067,-41.478224,-72.983021,GLP,2024-03-13,15:31:36,631.0,$/m3,,,,,,,2024-03-26
ab1030102,Comercial Sur Ltda.,ABASTIBLE,De los Lagos,10,Osorno,10301,Santa Mar 1537,-40.570368,-73.122625,GLP,2022-09-07,18:50:05,1796.0,$/m3,,,,,,,2024-03-26
ab1050101,Abastecedora De Combustibles S A,ABASTIBLE,De los Ríos,14,Valdivia,14101,rene schneider 3620,-39.847489,-73.218729,GLP,2024-03-13,15:31:36,631.0,$/m3,,,,,,,2024-03-26
ab1050102,Abastible,ABASTIBLE,De los Ríos,14,Valdivia,14101,pedro aguirre cerda 1389,-39.795693,-73.213178,GLP,2016-01-29,15:58:28,415.0,$/m3,,,,,,,2024-03-26
ab1050103,Myrtha Leda Baez Barrientos,ABASTIBLE,De los Ríos,14,Valdivia,14101,Picarte 1870,-39.824962,-73.22611,GLP,2022-09-07,18:50:33,691.0,$/m3,,,,,,,2024-03-26
ab110101,Abastible S.A.,ABASTIBLE,Tarapacá,1,Alto Hospicio,1107," Ruta A-616, Manzana C, Lote A 0",-20.268672,-70.104917,GLP,2024-01-25,09:56:37,679.0,$/m3,,,,,,,2024-03-26
ab1310103,Manuel Elligque Araya Administradora de Servicios EIRL,ABASTIBLE,Valparaíso,5,Valparaíso,5101,Err?zuriz 2364,-33.044616,-71.608636,GLP,2024-03-13,15:31:36,735.0,$/m3,,,,,,,2024-03-26
ab1310501,Abastible,ABASTIBLE,Metropolitana de Santiago,13,El Bosque,13105,avenida lo espejo 0450,-33.542571,-70.67622,GLP,2024-03-13,15:31:36,606.0,$/m3,,,,,,,2024-03-26
ab1311101,Abastecedora De Combustibles S A,ABASTIBLE,Metropolitana de Santiago,13,La Granja,13111,YUNGAY 0923,-33.524076,-70.622836,GLP,2024-03-13,15:31:36,603.0,$/m3,,,,,,,2024-03-26
ab1312501,Administradora de Servicios Ecogreen Ltda,ABASTIBLE,Metropolitana de Santiago,13,Quilicura,13125,Medialuna 390,-33.361937,-70.764399,GLP,2022-09-07,18:41:41,980.0,$/m3,,,,,,,2024-03-26
ab1312601,Abastecedora De Combustibles S A,ABASTIBLE,Metropolitana de Santiago,13,Quinta Normal,13126,VICUÑA ROSAS 5891,-33.435045,-70.717876,GLP,2024-03-13,15:31:36,603.0,$/m3,,,,,,,2024-03-26
ab1320101,Abastecedora De Combustibles S A,ABASTIBLE,Metropolitana de Santiago,13,Puente Alto,13201,avenida eyzaguirre 2816,-33.616258,-70.60801,GLP,2024-03-13,15:31:36,587.0,$/m3,,,,,,,2024-03-26
ab1340201,Comercial y Servicios Automotrices Figueroa Venegas Ltda.,ABASTIBLE,Metropolitana de Santiago,13,Buin,13402,Condell 15,-33.732107,-70.73588,GLP,2022-09-07,18:44:46,1411.0,$/m3,,,,,,,2024-03-26
ab1360102,Fern?ndez y Fern?ndez Autogas Ltda.,ABASTIBLE,Metropolitana de Santiago,13,Talagante,13601,Manuel Rodriguez 125,-33.653056,-70.927299,GLP,2023-10-23,09:55:04,900.0,$/m3,,,,,,,2024-03-26
ab1510101,Comercializadora y Distribuidora Fabio Fernando Aranibar Encalada E.I.R.L.,ABASTIBLE,Arica y Parinacota,15,Arica,15101,Alejandro Azolas 2693,-18.467207,-70.293442,GLP,2024-03-13,15:31:36,609.0,$/m3,,,,,,,2024-03-26
ab310102,Bernardo Enrique Ojeda Forcael,ABASTIBLE,Atacama,3,Copiapó,3101,Los Loros 1264,-27.362893,-70.317725,GLP,2023-04-19,16:41:45,739.0,$/m3,,,,,,,2024-03-26
ab550101,Abastible,ABASTIBLE,Valparaíso,5,Quillota,5501,la concepcion 415,-32.880371,-71.252933,GLP,2022-09-07,18:39:47,1763.0,$/m3,,,,,,,2024-03-26
ab610101,Abastible,ABASTIBLE,Del Libertador Gral. Bernardo O’Higgins,6,Rancagua,6101,manuel montt 480 480,-34.175935,-70.72821,GLP,2024-03-13,15:31:36,569.0,$/m3,,,,,,,2024-03-26
ab611501,Abastecedora De Combustibles S A,ABASTIBLE,Del Libertador Gral. Bernardo O’Higgins,6,Rengo,6115,luis jorquera 1291,-34.408815,-70.841143,GLP,2024-03-13,15:31:36,627.0,$/m3,,,,,,,2024-03-26
ab630101,Sociedad Comercial Lisboa Ltda.,ABASTIBLE,Del Libertador Gral. Bernardo O’Higgins,6,San Fernando,6301,Calle Angosta 1475,-34.575501,-70.989544,GLP,2022-09-23,14:03:26,1009.0,$/m3,,,,,,,2024-03-26
ab640101,Hern?n del Carmen Luengo Mardones,ABASTIBLE,Ñuble,16,Chillán,16101,itata 403,-36.600829,-72.103373,GLP,2022-09-07,18:49:05,1902.0,$/m3,,,,,,,2024-03-26
ab710101,Iv?n Alejandro Castro Poblete,ABASTIBLE,Del Maule,7,Talca,7101,Catorce Oriente 31,-35.440472,-71.6473,GLP,2023-10-23,09:55:04,900.0,$/m3,,,,,,,2024-03-26
ab730101,Sintracol 5 S.A.,ABASTIBLE,Del Maule,7,Curicó,7301,Pasaje 32 665,-34.992555,-71.247186,GLP,2024-03-13,15:31:36,569.0,$/m3,,,,,,,2024-03-26
ab740101,Abastecedora De Combustibles S A,ABASTIBLE,Del Maule,7,Linares,7401,leon bustos 1319,-35.841904,-71.618932,GLP,2024-03-13,15:31:36,625.0,$/m3,,,,,,,2024-03-26
