codigo,Razón Social,marca,nombre_region,codigo_region,nombre_comuna,codigo_comuna,direccion,Latitud,Longitud,combustible,Última Actualización,hora_actualizacion,precio,unidad_cobro,ClasificacionGasolina 93 $/L,ClasificacionGasolina 97 $/L,ClasificacionPetróleo Diesel $/L,ClasificacionGasolina 95 $/L,ClasificacionGLP Vehicular $/m3,ClasificacionGNC $/m3,Fecha
ab1010102,SERVICIOS DE TRANSPORTE Y DISTRIBUCION ALVARO RODRIGO SEPULVEDA CZISCHKE E.I.R.L,ABASTIBLE,De los Lagos,10,Puerto Montt,10101,MAXIMILIANO URIBE 2067,-41.478224,-72.983021,GLP,2024-04-11,11:16:13,705.0,$/m3,,,,,,,2024-04-29
ab1030102,Comercial Sur Ltda.,ABASTIBLE,De los Lagos,10,Osorno,10301,Santa Mar 1537,-40.570368,-73.122625,GLP,2022-09-07,18:50:05,1796.0,$/m3,,,,,,,2024-04-29
ab1050101,Abastecedora De Combustibles S A,ABASTIBLE,De los Ríos,14,Valdivia,14101,rene schneider 3620,-39.847489,-73.218729,GLP,2024-04-11,11:16:13,694.0,$/m3,,,,,,,2024-04-29
ab1050102,Abastible,ABASTIBLE,De los Ríos,14,Valdivia,14101,pedro aguirre cerda 1389,-39.795693,-73.213178,GLP,2016-01-29,15:58:28,415.0,$/m3,,,,,,,2024-04-29
ab1050103,Myrtha Leda Baez Barrientos,ABASTIBLE,De los Ríos,14,Valdivia,14101,Picarte 1870,-39.824962,-73.22611,GLP,2022-09-07,18:50:33,691.0,$/m3,,,,,,,2024-04-29
ab110101,Abastible S.A.,ABASTIBLE,Tarapacá,1,Alto Hospicio,1107," Ruta A-616, Manzana C, Lote A 0",-20.268672,-70.104917,GLP,2024-01-25,09:56:37,679.0,$/m3,,,,,,,2024-04-29
ab1310103,Manuel Elligque Araya Administradora de Servicios EIRL,ABASTIBLE,Valparaíso,5,Valparaíso,5101,Err?zuriz 2364,-33.044616,-71.608636,GLP,2024-04-11,11:16:13,773.0,$/m3,,,,,,,2024-04-29
ab1310501,Abastible,ABASTIBLE,Metropolitana de Santiago,13,El Bosque,13105,avenida lo espejo 0450,-33.542571,-70.67622,GLP,2024-04-11,11:16:13,645.0,$/m3,,,,,,,2024-04-29
ab1311101,Abastecedora De Combustibles S A,ABASTIBLE,Metropolitana de Santiago,13,La Granja,13111,YUNGAY 0923,-33.524076,-70.622836,GLP,2024-04-11,11:16:13,645.0,$/m3,,,,,,,2024-04-29
ab1312501,Administradora de Servicios Ecogreen Ltda,ABASTIBLE,Metropolitana de Santiago,13,Quilicura,13125,Medialuna 390,-33.361937,-70.764399,GLP,2022-09-07,18:41:41,980.0,$/m3,,,,,,,2024-04-29
