codigo,Razón Social,marca,nombre_region,codigo_region,nombre_comuna,codigo_comuna,direccion,Latitud,Longitud,combustible,Última Actualización,hora_actualizacion,precio,unidad_cobro,ClasificacionGasolina 93 $/L,ClasificacionGasolina 97 $/L,ClasificacionPetróleo Diesel $/L,ClasificacionGasolina 95 $/L,ClasificacionGLP Vehicular $/m3,ClasificacionGNC $/m3,Fecha
co01004,Comercial Y Servicios Michel Ltda,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Avenida Almirante Blanco Encalada 1899,-33.45651927302834,-70.66068559885025,97,2024-02-29,08:22:52,1407.0,$/L,,,,,,,2024-03-22
co01004,Comercial Y Servicios Michel Ltda,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Avenida Almirante Blanco Encalada 1899,-33.45651927302834,-70.66068559885025,DI,2024-03-05,11:49:21,1046.0,$/L,,,,,,,2024-03-22
co01005,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Avenida Matta 788,-33.45907254113782,-70.64504027366638,93,2024-02-29,14:02:28,1284.0,$/L,,,,,,,2024-03-22
co01005,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Avenida Matta 788,-33.45907254113782,-70.64504027366638,95,2024-02-29,14:02:28,1343.0,$/L,,,,,,,2024-03-22
co01005,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Avenida Matta 788,-33.45907254113782,-70.64504027366638,97,2024-02-29,14:02:28,1405.0,$/L,,,,,,,2024-03-22
co01005,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Avenida Matta 788,-33.45907254113782,-70.64504027366638,DI,2024-03-14,11:07:29,1043.0,$/L,,,,,,,2024-03-22
co01007,Comercial Desca Limitada,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Lord Cochrane 152,-33.44777135415395,-70.65466403961182,93,2024-02-29,10:36:18,1295.0,$/L,,,,,,,2024-03-22
co01007,Comercial Desca Limitada,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Lord Cochrane 152,-33.44777135415395,-70.65466403961182,95,2024-02-29,10:36:18,1346.0,$/L,,,,,,,2024-03-22
co01007,Comercial Desca Limitada,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Lord Cochrane 152,-33.44777135415395,-70.65466403961182,97,2024-02-29,10:36:18,1396.0,$/L,,,,,,,2024-03-22
co01007,Comercial Desca Limitada,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Lord Cochrane 152,-33.44777135415395,-70.65466403961182,DI,2024-02-29,10:36:18,1067.0,$/L,,,,,,,2024-03-22
co01008,Sociedad Comercial y Distribuidora Becaso Ltda,COPEC,Metropolitana de Santiago,13,Ñuñoa,13120,VicuÃ±a Mackenna 654,-33.44997352274866,-70.63110888004303,93,2024-02-29,15:53:34,1290.0,$/L,,,,,,,2024-03-22
co01008,Sociedad Comercial y Distribuidora Becaso Ltda,COPEC,Metropolitana de Santiago,13,Ñuñoa,13120,VicuÃ±a Mackenna 654,-33.44997352274866,-70.63110888004303,95,2024-02-29,15:53:34,1336.0,$/L,,,,,,,2024-03-22
co01008,Sociedad Comercial y Distribuidora Becaso Ltda,COPEC,Metropolitana de Santiago,13,Ñuñoa,13120,VicuÃ±a Mackenna 654,-33.44997352274866,-70.63110888004303,97,2024-02-29,15:53:34,1368.0,$/L,,,,,,,2024-03-22
co01008,Sociedad Comercial y Distribuidora Becaso Ltda,COPEC,Metropolitana de Santiago,13,Ñuñoa,13120,VicuÃ±a Mackenna 654,-33.44997352274866,-70.63110888004303,DI,2024-02-29,15:53:34,1053.0,$/L,,,,,,,2024-03-22
co01009,SOC COM PINTO Y CANDIALTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 2602,-33.435219716225106,-70.6730505824089,93,2024-02-29,14:06:41,1263.0,$/L,,,,,,,2024-03-22
co01009,SOC COM PINTO Y CANDIALTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 2602,-33.435219716225106,-70.6730505824089,95,2024-02-29,14:06:41,1293.0,$/L,,,,,,,2024-03-22
co01009,SOC COM PINTO Y CANDIALTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 2602,-33.435219716225106,-70.6730505824089,97,2024-02-29,14:06:41,1326.0,$/L,,,,,,,2024-03-22
co01009,SOC COM PINTO Y CANDIALTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 2602,-33.435219716225106,-70.6730505824089,DI,2024-02-29,14:06:41,1036.0,$/L,,,,,,,2024-03-22
co01010,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 1990,-33.43490634967846,-70.66442996263504,93,2024-02-29,13:46:36,1263.0,$/L,,,,,,,2024-03-22
co01010,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 1990,-33.43490634967846,-70.66442996263504,95,2024-02-29,13:46:36,1292.0,$/L,,,,,,,2024-03-22
co01010,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 1990,-33.43490634967846,-70.66442996263504,97,2024-02-29,13:46:36,1326.0,$/L,,,,,,,2024-03-22
co01010,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 1990,-33.43490634967846,-70.66442996263504,DI,2024-02-29,13:46:36,1032.0,$/L,,,,,,,2024-03-22
co01011,Comercial Villaval ltda ,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,NATANIEL COX 1802,-33.470150750216064,-70.64988166093826,93,2024-02-29,15:21:21,1285.0,$/L,,,,,,,2024-03-22
co01011,Comercial Villaval ltda ,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,NATANIEL COX 1802,-33.470150750216064,-70.64988166093826,95,2024-02-29,15:21:21,1343.0,$/L,,,,,,,2024-03-22
co01011,Comercial Villaval ltda ,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,NATANIEL COX 1802,-33.470150750216064,-70.64988166093826,97,2024-02-29,15:21:21,1399.0,$/L,,,,,,,2024-03-22
co01011,Comercial Villaval ltda ,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,NATANIEL COX 1802,-33.470150750216064,-70.64988166093826,DI,2024-02-29,15:21:21,1043.0,$/L,,,,,,,2024-03-22
co01012,Adm. de Gasolineras Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,VIEL 1921,-33.47205925444164,-70.65635114908218,93,2024-02-29,08:38:05,1286.0,$/L,,,,,,,2024-03-22
co01012,Adm. de Gasolineras Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,VIEL 1921,-33.47205925444164,-70.65635114908218,95,2024-02-29,08:38:05,1345.0,$/L,,,,,,,2024-03-22
co01012,Adm. de Gasolineras Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,VIEL 1921,-33.47205925444164,-70.65635114908218,97,2024-03-06,08:22:21,1407.0,$/L,,,,,,,2024-03-22
co01012,Adm. de Gasolineras Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,VIEL 1921,-33.47205925444164,-70.65635114908218,DI,2024-03-06,08:22:59,1045.0,$/L,,,,,,,2024-03-22
co01013,ESTACION DE SERVICIO BRIZA LTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,BASCUï¿½AN GUERRERO 568,-33.45679675716567,-70.67388206720352,93,2023-10-05,10:24:30,1291.0,$/L,,,,,,,2024-03-22
co01013,ESTACION DE SERVICIO BRIZA LTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,BASCUï¿½AN GUERRERO 568,-33.45679675716567,-70.67388206720352,95,2023-10-05,10:24:30,1351.0,$/L,,,,,,,2024-03-22
co01013,ESTACION DE SERVICIO BRIZA LTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,BASCUï¿½AN GUERRERO 568,-33.45679675716567,-70.67388206720352,97,2023-10-05,10:24:30,1414.0,$/L,,,,,,,2024-03-22
co01013,ESTACION DE SERVICIO BRIZA LTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,BASCUï¿½AN GUERRERO 568,-33.45679675716567,-70.67388206720352,DI,2023-10-05,10:24:30,1023.0,$/L,,,,,,,2024-03-22
co01014,Administradora de ventas al detalle ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,CARMEN 185,-33.446397208428984,-70.64276576042175,93,2024-02-29,14:45:03,1295.0,$/L,,,,,,,2024-03-22
co01014,Administradora de ventas al detalle ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,CARMEN 185,-33.446397208428984,-70.64276576042175,95,2024-02-29,14:45:03,1346.0,$/L,,,,,,,2024-03-22
co01014,Administradora de ventas al detalle ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,CARMEN 185,-33.446397208428984,-70.64276576042175,97,2024-02-29,14:45:03,1396.0,$/L,,,,,,,2024-03-22
co01014,Administradora de ventas al detalle ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,CARMEN 185,-33.446397208428984,-70.64276576042175,DI,2024-02-29,14:45:03,1067.0,$/L,,,,,,,2024-03-22
co01015,RIVEROS Y LILLO LTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,ARTURO PRAT 683,-33.45374438281472,-70.64860761165619,93,2024-02-29,15:42:50,1297.0,$/L,,,,,,,2024-03-22
co01015,RIVEROS Y LILLO LTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,ARTURO PRAT 683,-33.45374438281472,-70.64860761165619,95,2024-02-29,15:42:51,1341.0,$/L,,,,,,,2024-03-22
co01015,RIVEROS Y LILLO LTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,ARTURO PRAT 683,-33.45374438281472,-70.64860761165619,97,2024-02-29,15:42:51,1434.0,$/L,,,,,,,2024-03-22
co01015,RIVEROS Y LILLO LTDA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,ARTURO PRAT 683,-33.45374438281472,-70.64860761165619,DI,2024-02-29,15:42:51,1059.0,$/L,,,,,,,2024-03-22
co01016,COPEGAS LIMITADA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Avenida Matta 665,-33.4578686431941,-70.64234733581543,93,2024-02-29,09:54:20,1284.0,$/L,,,,,,,2024-03-22
co01016,COPEGAS LIMITADA,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Avenida Matta 665,-33.4578686431941,-70.64234733581543,95,2024-02-29,09:54:20,1343.0,$/L,,,,,,,2024-03-22
