codigo,Razón Social,marca,nombre_region,codigo_region,nombre_comuna,codigo_comuna,direccion,Latitud,Longitud,combustible,Última Actualización,hora_actualizacion,precio,unidad_cobro,ClasificacionGasolina 93 $/L,ClasificacionGasolina 97 $/L,ClasificacionPetróleo Diesel $/L,ClasificacionGasolina 95 $/L,ClasificacionGLP Vehicular $/m3,ClasificacionGNC $/m3,Fecha
ab1010102,SERVICIOS DE TRANSPORTE Y DISTRIBUCION ALVARO RODRIGO SEPULVEDA CZISCHKE E.I.R.L,ABASTIBLE,De los Lagos,10,Puerto Montt,10101,MAXIMILIANO URIBE 2067,-41.478224,-72.98302060000003,GLP,2024-03-13,15:31:36,631.0,$/m3,,,,,,,2024-03-22
ab1030102,Comercial Sur Ltda.,ABASTIBLE,De los Lagos,10,Osorno,10301,Santa Mar 1537,-40.5703681,-73.12262479999998,GLP,2022-09-07,18:50:05,1796.0,$/m3,,,,,,,2024-03-22
ab1050101,Abastecedora De Combustibles S A,ABASTIBLE,De los Ríos,14,Valdivia,14101,rene schneider 3620,-39.8474886,-73.2187286,GLP,2024-03-13,15:31:36,631.0,$/m3,,,,,,,2024-03-22
ab1050102,Abastible,ABASTIBLE,De los Ríos,14,Valdivia,14101,pedro aguirre cerda 1389,-39.7956934,-73.2131779,GLP,2016-01-29,15:58:28,415.0,$/m3,,,,,,,2024-03-22
ab1050103,Myrtha Leda Baez Barrientos,ABASTIBLE,De los Ríos,14,Valdivia,14101,Picarte 1870,-39.8249615,-73.2261102,GLP,2022-09-07,18:50:33,691.0,$/m3,,,,,,,2024-03-22
ab110101,Abastible S.A.,ABASTIBLE,Tarapacá,1,Alto Hospicio,1107," Ruta A-616, Manzana C, Lote A 0",-20.2686722,-70.10491689999998,GLP,2024-01-25,09:56:37,679.0,$/m3,,,,,,,2024-03-22
ab1310103,Manuel Elligque Araya Administradora de Servicios EIRL,ABASTIBLE,Valparaíso,5,Valparaíso,5101,Err?zuriz 2364,-33.044615619038986,-71.60863597731554,GLP,2024-03-13,15:31:36,735.0,$/m3,,,,,,,2024-03-22
ab1310501,Abastible,ABASTIBLE,Metropolitana de Santiago,13,El Bosque,13105,avenida lo espejo 0450,-33.54257060951167,-70.67621993453218,GLP,2024-03-13,15:31:36,606.0,$/m3,,,,,,,2024-03-22
ab1311101,Abastecedora De Combustibles S A,ABASTIBLE,Metropolitana de Santiago,13,La Granja,13111,YUNGAY 0923,-33.5240758,-70.6228357,GLP,2024-03-13,15:31:36,603.0,$/m3,,,,,,,2024-03-22
ab1312501,Administradora de Servicios Ecogreen Ltda,ABASTIBLE,Metropolitana de Santiago,13,Quilicura,13125,Medialuna 390,-33.3619368,-70.76439859999999,GLP,2022-09-07,18:41:41,980.0,$/m3,,,,,,,2024-03-22
ab1312601,Abastecedora De Combustibles S A,ABASTIBLE,Metropolitana de Santiago,13,Quinta Normal,13126,VICUÑA ROSAS 5891,-33.4350447,-70.7178763,GLP,2024-03-13,15:31:36,603.0,$/m3,,,,,,,2024-03-22
ab1320101,Abastecedora De Combustibles S A,ABASTIBLE,Metropolitana de Santiago,13,Puente Alto,13201,avenida eyzaguirre 2816,-33.6162575,-70.6080099,GLP,2024-03-13,15:31:36,587.0,$/m3,,,,,,,2024-03-22
ab1340201,Comercial y Servicios Automotrices Figueroa Venegas Ltda.,ABASTIBLE,Metropolitana de Santiago,13,Buin,13402,Condell 15,-33.732107,-70.73587989999999,GLP,2022-09-07,18:44:46,1411.0,$/m3,,,,,,,2024-03-22
ab1360102,Fern?ndez y Fern?ndez Autogas Ltda.,ABASTIBLE,Metropolitana de Santiago,13,Talagante,13601,Manuel Rodriguez 125,-33.653056074990346,-70.92729929140165,GLP,2023-10-23,09:55:04,900.0,$/m3,,,,,,,2024-03-22
ab1510101,Comercializadora y Distribuidora Fabio Fernando Aranibar Encalada E.I.R.L.,ABASTIBLE,Arica y Parinacota,15,Arica,15101,Alejandro Azolas 2693,-18.4672066,-70.2934421,GLP,2024-03-13,15:31:36,609.0,$/m3,,,,,,,2024-03-22
ab310102,Bernardo Enrique Ojeda Forcael,ABASTIBLE,Atacama,3,Copiapó,3101,Los Loros 1264,-27.3628926,-70.31772539999997,GLP,2023-04-19,16:41:45,739.0,$/m3,,,,,,,2024-03-22
ab550101,Abastible,ABASTIBLE,Valparaíso,5,Quillota,5501,la concepcion 415,-32.880371,-71.252933,GLP,2022-09-07,18:39:47,1763.0,$/m3,,,,,,,2024-03-22
ab610101,Abastible,ABASTIBLE,Del Libertador Gral. Bernardo O’Higgins,6,Rancagua,6101,manuel montt 480 480,-34.1759354,-70.7282103,GLP,2024-03-13,15:31:36,569.0,$/m3,,,,,,,2024-03-22
ab611501,Abastecedora De Combustibles S A,ABASTIBLE,Del Libertador Gral. Bernardo O’Higgins,6,Rengo,6115,luis jorquera 1291,-34.4088146,-70.8411426,GLP,2024-03-13,15:31:36,627.0,$/m3,,,,,,,2024-03-22
ab630101,Sociedad Comercial Lisboa Ltda.,ABASTIBLE,Del Libertador Gral. Bernardo O’Higgins,6,San Fernando,6301,Calle Angosta 1475,-34.5755012,-70.98954400000002,GLP,2022-09-23,14:03:26,1009.0,$/m3,,,,,,,2024-03-22
ab640101,Hern?n del Carmen Luengo Mardones,ABASTIBLE,Ñuble,16,Chillán,16101,itata 403,-36.6008292,-72.1033727,GLP,2022-09-07,18:49:05,1902.0,$/m3,,,,,,,2024-03-22
ab710101,Iv?n Alejandro Castro Poblete,ABASTIBLE,Del Maule,7,Talca,7101,Catorce Oriente 31,-35.4404724,-71.64729979999998,GLP,2023-10-23,09:55:04,900.0,$/m3,,,,,,,2024-03-22
ab730101,Sintracol 5 S.A.,ABASTIBLE,Del Maule,7,Curicó,7301,Pasaje 32 665,-34.99255503938055,-71.24718624243314,GLP,2024-03-13,15:31:36,569.0,$/m3,,,,,,,2024-03-22
ab740101,Abastecedora De Combustibles S A,ABASTIBLE,Del Maule,7,Linares,7401,leon bustos 1319,-35.8419035,-71.6189316,GLP,2024-03-13,15:31:36,625.0,$/m3,,,,,,,2024-03-22
ab810101,Diaz R?os Valentina de Las Mercedes y Otro,ABASTIBLE,Del Biobío,8,Concepción,8101,galvarino 2127,-36.8050637,-73.0492407,GLP,2024-03-13,15:31:36,700.0,$/m3,,,,,,,2024-03-22
ab830101,Sociedad Sanchez y Compa??a Ltda.,ABASTIBLE,Del Biobío,8,Los Ángeles,8301,Av Francisco Encina 1451,-37.48471190029263,-72.33118856334806,GLP,2024-03-13,15:31:36,672.0,$/m3,,,,,,,2024-03-22
ab910101,DISTRIBUIDORA Y COMERCIALIZADORA SAN JUAN SPA,ABASTIBLE,De la Araucanía,9,Temuco,9101,Manuel Recabarren 01940,-38.7550651,-72.6351656,GLP,2024-03-13,15:31:36,585.0,$/m3,,,,,,,2024-03-22
ab920101,Abastecedora De Combustibles S A,ABASTIBLE,De la Araucanía,9,Angol,9201,juan sellato 2938,-37.8,-72.7167,GLP,2024-03-13,15:31:36,561.0,$/m3,,,,,,,2024-03-22
ag1030102,Autogasco S.A.,AUTOGASCO,De los Lagos,10,Osorno,10301,Av. Los Carreras 501,-40.5726376,-73.1265856,GLP,2024-03-14,12:59:17,649.0,$/m3,,,,,,,2024-03-22
ag1210101 ,Gasco S.A. RUT: 90.310.000-1,AUTOGASCO,Magallanes y de la Antártica Chilena,12,Punta Arenas,12101,Avda. Edo. Frei 314,-53.154478,-70.916476,GLP,2014-01-30,11:57:46,479.0,$/m3,,,,,,,2024-03-22
ag1210101 ,Gasco S.A. RUT: 90.310.000-1,AUTOGASCO,Magallanes y de la Antártica Chilena,12,Punta Arenas,12101,Avda. Edo. Frei 314,-53.154478,-70.916476,GNC,2024-03-07,13:12:08,318.0,$/m3,,,,,,,2024-03-22
ag1310101,Autogasco,AUTOGASCO,Metropolitana de Santiago,13,Santiago Centro,13101,cueto 1095,-33.43254711092002,-70.6729406118393,GLP,2024-03-07,13:12:08,617.0,$/m3,,,,,,,2024-03-22
ag1310101,Autogasco,AUTOGASCO,Metropolitana de Santiago,13,Santiago Centro,13101,cueto 1095,-33.43254711092002,-70.6729406118393,GNC,2024-02-29,15:19:13,862.0,$/m3,,,,,,,2024-03-22
ag1311201,Autogasco,AUTOGASCO,Metropolitana de Santiago,13,La Pintana,13112,avenida lo blanco 2631,-33.58868671851739,-70.63154339790344,GLP,2024-03-07,13:12:08,618.0,$/m3,,,,,,,2024-03-22
ag1311301,COMERCIALIZADORA Y DISTRIBUIDORA ADVI SPA,AUTOGASCO,Metropolitana de Santiago,13,La Reina,13113,Jorge Alessandri 515,-33.456004,-70.544716,GLP,2024-03-07,13:12:08,644.0,$/m3,,,,,,,2024-03-22
ag1312801,Autogasco,AUTOGASCO,Metropolitana de Santiago,13,Renca,13128,apostol santiago 1858,-33.399961122906234,-70.69879978895187,GLP,2024-03-07,13:12:08,618.0,$/m3,,,,,,,2024-03-22
ag1313001,Autogasco,AUTOGASCO,Metropolitana de Santiago,13,San Miguel,13130,sebastopol 592,-33.51581578247329,-70.64203351736069,GLP,2024-03-07,13:12:08,618.0,$/m3,,,,,,,2024-03-22
ag1313002,Autogasco S.A.,AUTOGASCO,Metropolitana de Santiago,13,San Miguel,13130,Gran Avenida Jose Miguel Carrera 2948,-33.4815151,-70.64874399999997,GLP,2024-03-07,13:12:08,618.0,$/m3,,,,,,,2024-03-22
ag1313002,Autogasco S.A.,AUTOGASCO,Metropolitana de Santiago,13,San Miguel,13130,Gran Avenida Jose Miguel Carrera 2948,-33.4815151,-70.64874399999997,GNC,2024-02-29,15:19:13,852.0,$/m3,,,,,,,2024-03-22
ag1320101,Autogasco,AUTOGASCO,Metropolitana de Santiago,13,Puente Alto,13201,eyzaguirre 1064,-33.614194890177764,-70.58712601661682,GLP,2024-03-07,13:12:08,608.0,$/m3,,,,,,,2024-03-22
ag1320101,Autogasco,AUTOGASCO,Metropolitana de Santiago,13,Puente Alto,13201,eyzaguirre 1064,-33.614194890177764,-70.58712601661682,GNC,2024-02-29,15:19:13,868.0,$/m3,,,,,,,2024-03-22
ag1410101,Autogasco,AUTOGASCO,De los Ríos,14,Valdivia,14101,pablo neruda esq pasaje 21 000,-39.844180669561155,-73.21327418088913,GLP,2017-12-07,12:36:00,489.0,$/m3,,,,,,,2024-03-22
ag210101,Autogasco,AUTOGASCO,Antofagasta,2,Antofagasta,2101,AVENIDA RADOMIRO TOMIC esq DR. RUIZ TAGLE 000,-23.60129279529261,-70.38556605577469,GLP,2024-03-07,13:12:08,676.0,$/m3,,,,,,,2024-03-22
ag310102 ,Sindicato de dueños independientes taxis colectivos Línea N° 24,AUTOGASCO,Atacama,3,Copiapó,3101,Venancio Díaz esquina Juncalito S/N 0,-27.361782,-70.305816,GLP,2024-03-07,13:12:08,705.0,$/m3,,,,,,,2024-03-22
ag410101,Autogasco,AUTOGASCO,Coquimbo,4,La Serena,4101,Balmaceda 3850,-29.93627640771037,-71.26073062419891,GLP,2024-03-07,13:12:08,609.0,$/m3,,,,,,,2024-03-22
ag410201,Autogasco - Jaime Pino Arancibia/10.530.939-2,AUTOGASCO,Coquimbo,4,Coquimbo,4102,Las Azucenas 519,-29.9792626,-71.34149259999998,GLP,2024-03-07,13:12:08,649.0,$/m3,,,,,,,2024-03-22
ag430101,Autogasco,AUTOGASCO,Coquimbo,4,Ovalle,4301,ariztia oriente 000,-30.602605693299676,-71.1965560913086,GLP,2024-03-07,13:12:08,649.0,$/m3,,,,,,,2024-03-22
ag550101,Autogasco S.A. / RUT: 76.742.300-4,AUTOGASCO,Valparaíso,5,Los Andes,5301,Calle Laberinto 390,-32.8144346,-70.6198426,GLP,2017-12-07,12:16:36,550.0,$/m3,,,,,,,2024-03-22
ag550501,Geriba SPA,AUTOGASCO,Valparaíso,5,Limache,5802,Avenida Palmira Romano Oriente 211,-32.990493716787405,-71.26372396945953,93,2022-09-29,14:03:36,1324.0,$/L,,,,,,,2024-03-22
ag550501,Geriba SPA,AUTOGASCO,Valparaíso,5,Limache,5802,Avenida Palmira Romano Oriente 211,-32.990493716787405,-71.26372396945953,95,2022-09-29,14:03:36,1348.0,$/L,,,,,,,2024-03-22
ag550501,Geriba SPA,AUTOGASCO,Valparaíso,5,Limache,5802,Avenida Palmira Romano Oriente 211,-32.990493716787405,-71.26372396945953,DI,2022-09-29,14:03:36,1148.0,$/L,,,,,,,2024-03-22
ag550501,Geriba SPA,AUTOGASCO,Valparaíso,5,Limache,5802,Avenida Palmira Romano Oriente 211,-32.990493716787405,-71.26372396945953,GLP,2022-09-29,14:03:36,666.0,$/m3,,,,,,,2024-03-22
ag570101,Autogasco - Guillermo Damaso Flores Leiva/7.387.563-3,AUTOGASCO,Valparaíso,5,San Felipe,5701,Hermanos Carrera 1113,-32.7553626,-70.71250759999998,GLP,2018-02-08,14:25:15,485.0,$/m3,,,,,,,2024-03-22
ag610102,Distribuidora Oriente Spa,AUTOGASCO,Del Libertador Gral. Bernardo O’Higgins,6,Rancagua,6101,La CompaÃ±Ã­a 580,-34.163306,-70.713079,GLP,2024-03-07,13:12:08,575.0,$/m3,,,,,,,2024-03-22
ag710102,San Fabian SPA ,AUTOGASCO,Del Maule,7,Talca,7101,Av. Cancha Rayada 1952,-35.416517,-71.654445,GLP,2024-03-07,13:12:08,610.0,$/m3,,,,,,,2024-03-22
ag730701,Comercial y Transportes The Twins SPA.,AUTOGASCO,Del Maule,7,Curicó,7301,Av. Balmaceda 2323,-34.96501090000002,-71.24928608413086,GLP,2024-03-14,12:59:17,566.0,$/m3,,,,,,,2024-03-22
ag810201,Juan Miguel Vega Vega Transportes Publico de Pasajeros EIRL // 76.016.941-2,AUTOGASCO,Del Biobío,8,Coronel,8102,Los Notros 1559,-36.9860976,-73.1568766,GLP,2024-03-14,12:59:17,687.0,$/m3,,,,,,,2024-03-22
ag830101,Autogasco,AUTOGASCO,Del Biobío,8,Los Ángeles,8301,orompello 2046,-37.455569975510635,-72.37923860549927,GLP,2024-03-14,12:59:17,687.0,$/m3,,,,,,,2024-03-22
ag840101,Autogasco,AUTOGASCO,Ñuble,16,Chillán,16101,o\'higgins 3250,-36.599990806433134,-72.11163997650146,GLP,2024-03-14,12:59:17,612.0,$/m3,,,,,,,2024-03-22
ag910101,Autogasco,AUTOGASCO,De la Araucanía,9,Temuco,9101,candelaria 0665,-38.74543150704972,-72.61513352394104,GLP,2024-03-07,13:12:08,599.0,$/m3,,,,,,,2024-03-22
co01001,Sociedad Comercial E Inversiones V&G ltda,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Mapocho 1998,-33.43219,-70.66466,93,2024-02-29,09:12:41,1269.0,$/L,,,,,,,2024-03-22
co01001,Sociedad Comercial E Inversiones V&G ltda,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Mapocho 1998,-33.43219,-70.66466,95,2024-02-29,09:12:41,1298.0,$/L,,,,,,,2024-03-22
co01001,Sociedad Comercial E Inversiones V&G ltda,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Mapocho 1998,-33.43219,-70.66466,97,2024-02-29,09:12:41,1332.0,$/L,,,,,,,2024-03-22
co01001,Sociedad Comercial E Inversiones V&G ltda,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Mapocho 1998,-33.43219,-70.66466,DI,2024-02-29,09:12:41,1038.0,$/L,,,,,,,2024-03-22
co01002,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 1571,-33.434404960850074,-70.65988898277283,93,2024-02-29,14:50:07,1269.0,$/L,,,,,,,2024-03-22
co01002,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 1571,-33.434404960850074,-70.65988898277283,95,2024-02-29,14:50:07,1298.0,$/L,,,,,,,2024-03-22
co01002,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 1571,-33.434404960850074,-70.65988898277283,97,2024-02-29,14:50:07,1332.0,$/L,,,,,,,2024-03-22
co01002,Administradora de Ventas al Detalle Ltda.,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,SAN PABLO 1571,-33.434404960850074,-70.65988898277283,DI,2024-02-29,14:50:07,1038.0,$/L,,,,,,,2024-03-22
co01004,Comercial Y Servicios Michel Ltda,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Avenida Almirante Blanco Encalada 1899,-33.45651927302834,-70.66068559885025,93,2024-02-29,08:22:52,1286.0,$/L,,,,,,,2024-03-22
co01004,Comercial Y Servicios Michel Ltda,COPEC,Metropolitana de Santiago,13,Santiago Centro,13101,Avenida Almirante Blanco Encalada 1899,-33.45651927302834,-70.66068559885025,95,2024-02-29,08:22:52,1345.0,$/L,,,,,,,2024-03-22
